userName,score,at,content
Obiy,1,11/25/2024 4:23,"Semenjak Update banyak Bug seperti login dan mau ke lobby malah keluar dengan sendirinya dan terus begitu padahal udh menggunakan paket data dan wifi sama saja, tolong dong di perbaikin secepat mungkin"
RIZKY PAUL,1,11/25/2024 1:40,tidak bisa masuk di hp iqoo z9 force close
Layaing2000 Layaing,1,11/25/2024 1:30,"Game ga adil, semoga nih game cepet tutup, developer suka pilihkasi, game aneh"
20_Rangga Saputra Dwi Ramadhani,4,11/24/2024 14:45,"bug yang begitu gak jelas, ketika selalu habis menyelesaikan win game selalu force close, sedangkan ketika lose game malah tidak force close. tolong diperbaiki lagi bug gajelas ini"
Fachri Alvian,3,11/24/2024 14:24,"Yang tanya kenapa force close disaat win tapi tidak force close saat kalah, nih solusinya hapus semua pertemanan dalam game dan line...... Tetapi saya lebih suka kalau bug nya diperbaiki"
Aank Andriansyah,1,11/24/2024 14:23,Game taiiii iklannya banyak banget
Lynnn'a,1,11/24/2024 6:50,"please fix, no sound in games.. masuk game beberapa kali tapi gak ada suaranya"
Rahmad Zaini,1,11/23/2024 16:22,"Bug login makai Wi-Fi benerin dong, masa harus pakai data"
Rump 888,1,11/23/2024 15:19,Bener2 ya game ini mata duitan. Banyak komplainan ttp aja tu pemain2 yg langsung menang sendiri ga diblok. Harusnya pemain2 begitu diblok aja. Atau ketemuin ama yg sama gilanya. Jgn dikasih lawan yg memang pingin menang dgn main dulu.
LuBuGamingツ,5,11/23/2024 12:46,"SERU SEKALI SAYA SANGAT SENANG DAN SAYA SANGAT MENYUKAI GAME INI, UNTUK ADMIN DEVELOPER TOLONG JANGAN TUTUP SERVER KAMI SANGAT MEMBUTUHKAN GAME INI UNTUK SELAMA LAMANYA SUKSES JAYA TERUS YAAA🔥"
Hendra Nordian,2,11/23/2024 3:55,Saya baru download sdh bnyk mb nya game nya keluar sendiri tolong diperbaiki
Ega Saepul Yana,1,11/23/2024 1:15,Makin sini gak jelas dengan karakternya di tambah bug
Star ExE,1,11/22/2024 23:50,"Makin ke sini makin banyak bug padahal bukan game FPS, coba dong di perbaiki bug ketika menang selalu aja FC, giliran kalah gak FC, tolong diperbaiki bug nya ini sangat mengganggu di HP² minim, kalo sudah di perbaiki saya beri rating 5 kembali, Terima kasih...."
Davin Clement William Ju,2,11/22/2024 11:06,"GAME APA INI, SETIAP MAU LOGIN FORCE CLOSE TERUS PDHL MAIN GAME LAIN BISA AJA NONTON YT JUGA BISA PAS LOGIN NI GAME FORCE CLOSE TERUS PERBAIKI GAME MU!!! JANGAN KIKIR TERUS"
Bvc Ub Bintang vixion,1,11/22/2024 5:49,Game gak jelas...lawan gak sepadan bisa pulak baru level 10 udah lawan yg karakter nya legendary
Kha Kha,3,11/22/2024 0:29,"Entah kenapa sudah main 1-6 harian lancar lancar aja, kok tiba tiba forclose terus yaa minn.. kenap ini...??"
Putri Puspita Sari,2,11/21/2024 18:35,Terlalu banyak iklan setiap claim bonus selalu iklan teruss diperbaiki lagi..gak nyaman terlalu banyak iklan saat ngeklik sesuatu bikin lama..ditambah iklannya lama bgt tggunya..menyebalkan🥲🥲
Hermanto Siahaan,1,11/21/2024 15:53,Game bodoh isinya pengambilan data paksa saat memulai game. Bnyak skrip2 aneh di game ini. Bahaya bagi orang awam!!!
Wirenchyne Smile,1,11/21/2024 15:23,"Diamond abis 10rb hanya tuk incar karakter aja susah malah zonk, dipermainkan, karakter skrg bnyk menyiksa karakter yg lemah, tiba beli blm tentu psti dpt sesuai harapan tu karakter, hadeh. Dah hitungan tahun jg gak main pas aktif malah makin parah jg ne game, cepat bosan jadinya, dah gak asik tuk dimainkan 😒"
Navira Munadiatul Haq,1,11/21/2024 14:42,"Yaaa ini game seru banget,meski tiap event ngabisin diamond ttep gak menang (pernah sih dapet card top no.8,terus kalo pake pendant itu kadang berfungsi kadang enggak:(,tapi semakin diupdate makin pusing:(terus aku lupa password line ku,jadi gabisa lagi main,yaudah uninstal aja"
Nugroho BP Bagas,1,11/21/2024 6:55,Kenapa gamenya tiba2 g bisa dipakai habis loading trus keluar sdri padahal udh update jg msh tetap
Sandika Deince,5,11/21/2024 5:13,"Tolong lagu tema natalnya dibikin awal bulan desember sampai akhir desember,jangan cuma seminggu doang lagu natalnyaa 🙃🙏"
kevin bima,2,11/20/2024 18:31,"makin rusak aja ni game , belum lagi lempar dadu, uda kalah aja"
Jermy Janno Arry,1,11/20/2024 7:58,"Ini kenapa dah setelah loading menu langsung keluar sendiri? Padahal udah tak coba di 2 device berbeda loh. Satunya hp biasa sama Tab pake Snap 8 gen 2.... Lah kok sama semua, waktunya pensi sih."
ZADOSTRIX,1,11/20/2024 0:15,"Nonton youtube 4k lancar, main game kayak gini masalah jaringan, terus yang salah siapa ?"
Nasrundt Dscret,2,11/19/2024 11:22,Selalu force close saat memakai wifi indihome
Bobby Setia Aji,3,11/19/2024 10:34,mengapa ketika saya ingin masuk tiba tiba keluar sendiri
Nurshita Rahmasafitri,2,11/19/2024 2:19,"Ini kenapa ya, saya mau buka malah keluar sendiri, udah berapa kali seperti itu, saya uninstal, keluar terus, tolong diperbaiki!!!"
Cedric Lawalata,4,11/18/2024 13:53,Mohon untuk diperbaiki saat mau memulai Game... Krn tiba² suka keluar sendiri dari Game
Reztoe ZRX,1,11/18/2024 0:42,Terlalu bnyak iklan ampuuuunnnnn
Cindy edelin Fortuna,4,11/17/2024 23:47,Tolong pihak developer di perbaiki lgi bug login sering mental gabisa login jadi bosen sering mental keluar
richard cihara,1,11/17/2024 17:52,"udh 4 tahun Gua maen Ini Game Event nya selalu susah Dan Lawan2 Yg lain Tambah parah, Coba kalau Buat event Jangan Php Draw pendant 5× Masa gk dapat pendant event Sama beli pack Card event Selalu Di luar Event Dapat nya, Kembalikan Seperti Jaman Tricia Dan Coco Dimana Event nya Mudah dan Menyenangkan"
Irpan Raid Adhari,1,11/17/2024 16:17,"game sampah player dipersulit udh abis banyak diamond tetep ga kecapai misinya, penuh bug suara sember game koktol"
Putrakinah Putrakinah,1,11/17/2024 16:06,"Tolong,dong develover benerin lah bug gajelas masa akun saya gabisa kirim stiker sama main terus menang itu kembali ke menu hp tolong segera perbaiki klo gini terus game getrich ga bakal laku klo bug aja masih belum di perbaiki"
Edward Urban,1,11/17/2024 10:58,"Tutup sendiri aplikasiny,game kluar sendiri.. bug"
Kirey Inot,3,11/17/2024 10:29,Pas mau masuk malah keluar dari gamenya
Rinaldi Rachman,1,11/17/2024 10:25,"Baru install kok force close terus yaa?, developer tolong perbaiki"
M.FAJAR HERLAMBANG,1,11/17/2024 3:14,PerBaiki lagi tu game sering force close kadang login sering mental
Kenzi,1,11/16/2024 17:42,Jati diri monopoly hilang miris amat bisa pemain lain lompat sini lompat sana.. Bukan main monopoly lagi main lopak kodok aja🤣🤣🤣 Game tak mending hapus.. Ganti aja nama nya main lompat kodok🤣🤣
muhamad Rizki,1,11/16/2024 10:48,"Makin kesin makin banyak iklan sangat mengganggu sekali iklan nya, bintng satu aja"
Livia Lie,1,11/16/2024 9:26,"Nge-bug buset, pas klik masuk kluar sendiri --"" agak laen"
M Jemi,5,11/16/2024 7:32,game yg sanhat seru namun lawan sangat tidak seimbang ini kadang berasa parah sih.. fokus bangkrut vs fokus complition. atau fokus complition vs balance. sangat tidak seimbang.
Natzuu` 雨,1,11/15/2024 23:17,"Game tlol, rate gajelas, minimal itu kayak kgr lah, yg jelas rate gacha, udh event scam, musuh gajelas ketemu yg udh, pendant bagus/p2w hadeh, semoga lu tutup server."
Daun Ungu,1,11/15/2024 17:49,"tolong bug jaringan betulin, pake wifi malah keluar sendiri game nya"
nobita doraemon,2,11/15/2024 17:33,"Gara² ganti HP ga bisa lanjut getric yg lama,jadi mau ga mau ngulang dari awal pada dah log in gmail tetep aja ga bisa...... Kecewa"
Zaki Ruhusalim,1,11/15/2024 16:23,Game aneh banyak bug ga bisa masuk gamenya
Adam Mukminin,1,11/15/2024 14:24,"Niatnya mau main kembali, mulai 2016-2017 lalu kembali 2019-2 bulan dan 2024 kembali lagi mengira ada perubahan, eh malah makin kacau apalagi ke pemain baru, penyebabnya terlalu di buff kartu, pendant, dll S+ baru tidak sebanding dengan S+ lama, jika S+ baru di buff sedikit, tidak masalah kalau masa promosi lalu di seimbangkan, malah S+ lama serasa di nerf habis-habisan dan kadang tidak berfungsi skill bawaannya, percuma saja dapat S+ baru pada akhirnya malah jadi kurang berguna."
Tenka.,3,11/15/2024 13:28,"game nya bagus, cuman yg jadi masalah gacha card dan pendantnya semakin lama gak ngotak mahalnya, satu pendant aja bisa habis lebih dari 15k diamond njing. tolong tambahin rate gacha card pendantnya dan juga lebih di perbagus event gratisan buat player gratisan agar bisa bersaing dengan player pay to win."
Aditadita34 Dita,4,11/15/2024 3:51,"Saran kalo bisa kami para pemain yg kartunya dapet gratisan yg ga pernah top ap haya gratisan aja ,tolong pisain antara CLAS antara yg karakter legend/pro jangan main di economi ,karna klo di CLAS economi aja udh ketemu kita ga bakalan menang kadang ga jalan udh kalah 100%kalah intinya buatin CLAS khusus bagi pemula yg ga punya kartu bagus apa lagi pedant"
adam jamhur,1,11/15/2024 2:40,Tolong bug login pakai wifi diperbaiki froce close sendiri kocak. Maitencene ndk ad ndk peduli developer mending hapus aja apk ni dri playstore klo ndk ad niat perbaikan bug.
Sustiana Achmad,1,11/14/2024 23:20,"Tidak pernah mendapat avatar/kartu yg bagus dan kuat meskipun sdh pernah beli lewat bundle sekalipun dptnya jelek ,...buang2 waktu sj main game ini"
Sakinah Az,1,11/14/2024 16:05,"Buat apa mode economiey/Bus/First? Lebih baik ganti aja dengan System Rank, jadi klo yg low akun ya ketemu yg low juga jdi setara, gk berat sebelah. Klo di ML Inimah berasa akun Mystic lawan Epic. Yah susah lah...."
Pur wanto,5,11/14/2024 10:41,"Saya masih main game ini dah lama tapi kenapa 2 kali harus update terus sampe 1,5 Gb.apa cuama saya yang ngalamin ini yah"
Aldini Caesar Seftiani,5,11/14/2024 6:23,"Tidak bisa login, banyak bug. Tolong segera diperbaiki"
Raisa Adriana,1,11/14/2024 1:10,Malas banyak iklan jadi game burikk
Azmi Gaming,1,11/13/2024 21:34,"menurut saya ini game ga fair, lebih ke pay to win wkwk mau sejago apapun sepinter apapun player gratisan mana bisa full ws kalo ketemunya sama kartu yang bisa dibilang harus beli dan harganya MAHAL. Bener bener game nya ga hidup lama kelamaan juga bangkrut ni game apalagi diera skrng udah ga jaman pay to win kaya gini"
Sheirein Aurel Natasyah,3,11/13/2024 13:36,"Tidak seseru yang dulu, dan juga ini game tiba-tiba malah ada bug, please fix the bug"
Jihad Alfath M,5,11/13/2024 12:59,"Untuk developer, tolong dong di perbaiki. Setiap menang dalam permainan suka keluar sendiri, tapi ketika kalah tidak keluar sendiri. Seharusnya bug seperti itu segera di perbaiki🙏🙏🙏"
Gusti Nugraha Ramadhan,1,11/13/2024 7:40,"Tidak menyenangkan, terlalu pay to win plus kikir pula"
Ghost Codm,4,11/13/2024 2:15,game nya sih seru tapi terlalu pay to win nih game gak kayak dulu dapet lawan yg gak seimbang
Denis Kancil,5,11/12/2024 8:39,Game kesukaan gua buat refreshing ni otak biar ga badmood mikirin problem hha anjay
Imil Azmi,1,11/12/2024 4:10,"Niat hati mau nostalgia, apalah game suka force close, tolong perbaiki"
Eka Fitri,1,11/12/2024 3:21,karakternya banyak yg skill instan bangkrutin gak seimbang. jdi gak seru
Erizal Aditya M,2,11/11/2024 21:57,"Woy GM benerin lah bug login wifi forceclose.. padahal pas udah login pake data trus di ingame diganti wifi bisa.. yakali beli data cuma buat login ni game,TWOLOLL.. CUMA DI LGR DOANG LOGIN APK GABISA PAKE WIFI.."
life story,4,11/11/2024 15:28,Tolonglah masak sering ngebuck terus....game nya bagus aku suka tapi susah banget login sering eror
Shimazu Nishiki,2,11/11/2024 7:20,"Tolong perbaiki, ketika selesai main malah force close, terimakasih"
Moch Rizky Aditya,2,11/10/2024 15:38,Benerin bugnya keluar keluar sendiri
Ice Ant Studio,1,11/10/2024 11:25,Setelah di Update ... Force Close terus padahal Hp Ram 16gb ... Sistem terbaru ... Error' terus
Elsen,3,11/10/2024 9:16,"gamenya bagus, tapi kalo login pakai wifi malah forceclose jadi malas untuk mainnya boros kuota"
Dede Juandi (Bulle),3,11/10/2024 6:35,tolong perbaiki masa nggak bisa login pake wifi
りゅうが,1,11/9/2024 23:26,"Game kikir Gw spend 500k tapi malah dapet sampah doang buat event kartu. Ngasih rate jangan keterlaluan dong, gini amat nyari duit. Dan gw harus spend 500k lagi kalo mau yang versi guarantee. Gaada dermawannya sama sekali ini game. Developer penuh dosaaaaaaaaaaaaaa gamau dengerin pendapat pemainnya YANG UDAH SPEND BANYAK. Wujud asli dari greed of seven deadly sins emang get rich. Game gila. Gw gabisa tidur semaleman gara-gara LU karena mikirin duit gw yang ludes gitu aja dikasih sampahhhhhhhhhhh"
Dany Ramdhan,4,11/9/2024 15:48,Tolong di permudah event nya dan penyesuain skil card sama pendant nya biar seimbang antara aktif dan enggak nya
Khoerudin Yahya,1,11/9/2024 14:44,JANGAN DOWNLOAD!! Game taeee. Hanya untuk player yg punya karakter bagus dan pendant bagus aja yg diuntungkan. Permainan ga seru kebanyakan efek kartu. Dan semua itu harus beli pake uang. Sesuai namanya emang monopoli. Game busuk. Masa belum jalan sama sekali dipaksa bangkrut. Harusnya main pake skill. Jdi game belum mulai udah bisa ketauan pemenangnya. Tinggal diliat aja skill karakter nya. Kalo udah S+ mentok atau S+ Legend. Dipastikan dia pemenangnya.
tiara nadalifa12,1,11/9/2024 11:13,bug terus gak bisa masukke gamenya
Taya Fikri,1,11/9/2024 8:39,"kenapa tidak bisa login, selalu stuck saat buka line get rich kemudian tidak ada tombol sperti login selalu stuck saat buka apk tolong dibenarkan"
Maulana Irfan,1,11/9/2024 6:48,Kecewa karna baru login langsung keluar sendiri dri gamenya
amin udin,1,11/9/2024 3:52,"Tolong di perbaiki supaya tidak gampang bosen seperti hal nya baru main sudah bangkrut, itu pendan tidak perlu di kasih opsi aneh"" kartunya juga,klo mau kasih batasan level rank jadi lawan bisa seimbang."
AJI EGY TAMA,1,11/7/2024 12:49,2024 mencoba memainkan kembali... terakhir 2015... model permainannya jadi ke pay to win... harus beli kartu dan pendant... ngandelin gratisan gak bakal dapat... skil bermain gak gitu berpengaruh... buat menang harus beli kartu bagus dan pendant bagus... terus event cuma itungan hari... maaf developer... saya uninstal lagi....
Ilmi Kurnia,1,11/7/2024 4:38,"Jangan main ini game, selain kikir gamenya suka mental gajelas padahal ram 8"
Mas lis,3,11/6/2024 16:55,"pedant ama jalan dadu serta rating pedant gk sesuai, ini bukan game ini seperti tutor yang gak akan bisa kamu mengin kalo pemula, jadi percuma main ini game gak akan ada hiburan yang ada bakal emosi dan delet game, pembuat game ini mencoba memperlihatkan kebodohan tanpa melihat keinginan pemain, mereka hanya mengembangkan game sesuai keinginan pembuat game bukan keinginan pemain, jadi sungguh jangan berharap bermain dengan bahagia bagi pemula"
Ihsanul Hafiz,3,11/6/2024 14:50,ga bisa masuk pake wifi ampas
Wahyudi Jaya,1,11/6/2024 14:38,"Tolong dong kurangi iklan nya, setiap accept event selalu iklan mau brp x iklan trus. Tolong perbaiki, dan hapus iklan nya"
asby ariefp,1,11/5/2024 16:09,Game paling broken ini.. login ga bisa pake wifi sering mental ga jelas. Giliran bug yg nguntungkan player malah di ban dan cepet diperbaiki.. lah gini ga di urus. Jgn mikir cuan Mulu. Ga lama umur game lu min.. TOLONG INI DI PERBAIKI !!
Ragil Agung Prasetiyo,1,11/5/2024 15:49,Orang orang kenapaa sih main game ini padahal ini game itu mentingin player thailand sama player sultan doang
Candra Noviyanto,4,11/5/2024 14:28,kenapa setiap hbs main di game nya selalu mental keluar sendiri ya?tolong di perbaiki bug nya
Setia Budy,1,11/5/2024 13:08,Aplikasi nge Bug.. bikin emosiii... 🤬😡 Gw aduin sama Jirayut Lu ye
Mic Ko,2,11/5/2024 11:25,Gk pernah beres developer nya pake login tiba tiba keluar gitu aja terus gimana mau main coba hadeh perbaiki secepatnya dong banyak event bagus
Sayyid Tsany Zaky,1,11/5/2024 9:40,"Akun saya di ban,padahal itu karena secara tiba tiba mengalami bug di dalam game"
Renalda Bayu,1,11/5/2024 7:26,"Game sampah, percuma done event, tapi card/pendantnya gk aktif biadap banyak bugnya pula yang gak di fix"
Sanju Always Saragih,1,11/5/2024 6:55,"Apaan si Gm dongo, paling gw cuma dapat 500an DM diban 6 hari, yang salah kan kalian GM² yang dongo. Malah kami yang diban. Sumpah dongo bet"
T.abdul Razak,1,11/5/2024 5:30,"Ga guna main ni game, bug salah sendiri.. Malah d ban 2 hari + 6 hari, udah unistall"
Rendy Kj,1,11/5/2024 5:26,"Game tloll jngan mau main,ga pake bug malah kena ban,mana tadinya cuman 2 hari jadi 6 kntl kntl"
Choiruman Subekti,1,11/5/2024 5:11,Please GM kenapa akun saya tiba-tiba terkena ban Padahal saya tidak pernah cheat atau apapun Sangat di sayangkan kalau game ini sepi karena ulah GM sendiri
Kartika Dewi Lestari,2,11/5/2024 5:09,"Terlalu sering update, bikin tambah berat game"
rati ritto,4,11/5/2024 1:34,Tidak seru permainannya..baru main tdk smpai satu putaran sudah kalah karena karakter yg dipromosi kuasai line area semua dan landmark lawan sudah 6 berdiri jd yg lawan karakter promosi jd bangkrut atau kalah..jd lebih dominan karakterx yg promosi kuasai area..jd tdk seru permainannya...jd malas main apalagi belum start mulai sudah bangkrut..
Muhammad Ridho,1,11/4/2024 22:37,"Game banyak bug, udah tahu ga becus ngurus game malah sok Sokan ngeluarin fitur baru, eh yg di ban malah playernya, kocak bener devnya, bukannya di kasih kompensasi player malah playernya di ban seenak jidatnya, makanya lain kali cek dlu benar-benar udah Mt Berjam jam masih aja ngebug, dan playernya jadi kena ban gara gara devnya ga becus ngurus gamenya"
Aprilian ramdani Antuli,1,11/4/2024 19:44,Apaan si ajggg di updatee malaah keluar keluaran mulu
moch ardian,1,11/4/2024 13:28,"udah ngumpulin diamond banyak dari nonton iklan, akun kena banned gara gara gajelas. kesalahan dari developer, tapi yang kena player. gajelas"
almukhlis school,2,11/4/2024 11:29,Gm tolong perbaiki mode turnament padahal buat farming dm biar cepat terkumpul banyak nanti kalau sudah ada kembali tambah 3 bintang sekarang 2 bintang dulu
Dewa Kemon,1,11/4/2024 9:24,"akunku kena ban 2 hari padahal ak main biasa. di ban dngn alasan abuse. broh ngechat aja kaga bisa, make emote aja jarang bngt tolong dev kalo gini ketinggalan event"
Suganda Putra,2,11/4/2024 7:48,"Tolong bug di game nya diperbaiki,padahal wifi koneksinya bagus tetapi sering keluar dengan sendiri nya"
Hardhika Dhika,5,11/4/2024 5:49,Kenepa pakek data pas login gak bisa masuk tolong lah perbaiki untuk koneksi nya Sinyal 4G penuh kartu telkom masak setiap masuk koneksi tidak ada internet Gua pekerja yang gak selalu stanby di rumah pakek wifi tolong lah pihak defeloper
pii,1,11/4/2024 4:43,"pls benerin bug nya, masa gabisa buka apk nya terus😔"
Khae Ikhi,1,11/3/2024 14:13,pdahal sinyal bagus .tetep ja sering bnget menghubungkan ulang
Muhammad Lutfiana,2,11/3/2024 13:43,"setelah update versi terbaru susah login dan muncul Note ""Gagal mengumpulkan info app"""
Bang Naga,1,11/3/2024 13:16,"Saya rasa game ini tidak memuaskan, sudah jelas karakter lagi event, kenapa kalah melawan karakter yang lama? Apa artinya karakter yang lagi event tersebut?"
SW. Lab,1,11/3/2024 12:49,Pada z9x keluar terus
Johan 007,5,11/3/2024 12:32,"kecewa sih udah gabisa mabar team sama temen lagi, gabisa duo terus lawan tim random, ayo dong balikin bisa mabar tim bareng temen lagi, seru padahal bisa bantai bantai bareng temen duo."
Los Oke,1,11/3/2024 11:41,Update tiap hari pake wifi kga bisa game kocag
Ridho Bagus,1,11/3/2024 7:48,"mental muluu padahal lancar lancar aja jaringan,perbaikin lagii bug nya"
Mama Vina,3,11/2/2024 14:34,"Skrg jd sering error gk ky dulu klo main gampang""aja.. Udh brp kali log in keluar keluar mulu"
Black Lotus,1,11/2/2024 10:47,"Tolong diperbaiki ini masalah login via WiFi Mental mental terus, masa harus pakai data seluler baru bisa login Difix itu bug closenya"
Rony Kane,3,11/2/2024 7:11,Setiap update selalu leg leg kacau ni game lama lama
Galuh Transportasi,2,11/2/2024 4:42,"Game selalu nge bug aplikasi nutup sendiri, mau masuk ke permainan susah selalu keluar dari aplikasi"
Dina Wulan,1,11/2/2024 4:05,Setiap mau log in selalu keluar terus.jd males main klu ngebug terus
INDRIY_SAVITRI03,1,11/2/2024 1:42,"Tolong benerin bug sudah berapa bulan saya tidak bisa log in , setiap mau log selalu keluar sendiri dari aplikasi nya tolong min!!!! Benerin😤😤😭😭😭😫"
Dimas Dwi Dinata,1,11/2/2024 0:23,"Tolong perbaiki bug suara di HP xiaomi redmi note 10 pro min, sudah saya coba di 3 HP teman saya dan hasilnya sama ngebug semua, dan itu buat tidak nyaman suaranya pecah."
Kayz,1,11/1/2024 13:15,"Minimal kasih lawan yg sepadan lah, gue kartu lama ngelawan kartu op dimana ability nya bagus semua. Game kocak asli ngga adil bgt"
Sepdy Yanto,1,11/1/2024 5:48,"Game gak guna, match ga balance masa pemula harus lawan yg sepuh udh gitu gacha pendant dptnya ampas mulu padahal beli pake uang hadeh😔"
samsul bahar,1,11/1/2024 4:40,Ga bisa login pake line eror terus apaan sih
Gimin Boyolali,1,10/31/2024 15:44,"setiap hari update terus dalemannya , bagaimana ini dengan game nya , udah update banyak di awal kok update terus"
Dunia Hitam,4,10/31/2024 15:02,"Kasih bintang 4 dulu,soal ya selalu update terus.kita penguna setia get rich lama-lama bosan juga.itu aja sih kurang ya.yg lain aman saja.terimakasih"
Ponco Setiawan (The lost hope),1,10/31/2024 14:47,kalo bikin kqrakter yg ngotak dikit yah masa baru 2 putaran udah di bikin bangkrut ama skill ngrubah line yg bner aja
Rifki Agustina N,5,10/31/2024 14:45,"dari dulu masih aja kagak adil, main di 2M card musuh pada op yg terbaru terus"
Risna Sriwijaya,1,10/31/2024 14:22,Pelit bet njirrr pdhal sering top up tpi heronya nggk penh dapat yg di mau....😭😭😭
ibnu jordhan,1,10/31/2024 12:04,Game sampah sinyal penuh.. Pas login keluar sendiri
Algan gamings,1,10/31/2024 10:58,"Admin sange, ini penggunaan yg memakai WiFi tidak bisa login jaringan keceng padahal tolong perbaiki"
Shirogane Shiro,3,10/31/2024 10:41,"Yah agak mendinganlah gamenya, jika mereka mau card karakter yg ada di rank list, cukup main world raid dan mau cepat mendapatkan diamond tetap world raid juga."
Muhammad Arif,2,10/31/2024 10:00,"Ini gimn beli item malah g ada itemnya saldo udh kepotong juga. Benerin min,rugi saya klo gini terus udh 3x loh. Beli item selalu g ada barangnya"
Andri,5,10/31/2024 5:23,"Maen boom apaan selesai maen jaringan error, misi ga selesai, biar tu map dimaini trus sengaja, map ga laku"
Bisma Sultan,5,10/31/2024 5:18,"Gue kecewa sama Line Let's Get Rich , gk bisa login pake jaringan wifi soalnya , gue sangat kecewa"
babeh lucky,5,10/31/2024 4:45,"Game bagus, tapi tolong jangan suka scam mulu kalo masalah event terlalu nguras duit banget"
Thina Ramlan,4,10/31/2024 4:21,"Buruk sekarang buruk banyak iklan nya dulu paling senang main ini , pengen main lagi jd download lagi ehhh iklan nya banyak bener"
Dinda Herfitia,1,10/31/2024 3:15,Error trs kalo udah masuk . Knp ya ??
Naruto Uzumaki,5,10/31/2024 1:49,"Baru login lg.pertama main thun 2015,akuny msh ada."
Indra 140 Anonim,5,10/30/2024 13:47,game nya bagus banget banyak char keren tapi keknya saya aja yang susah ngerti cara mainnya udah lebih 2-3 minggu masih aja ga ngerti walaupun dasar dari gamenya🐬
Didi Abdul,1,10/30/2024 13:11,"dapat lawan ga ngotak , level masih kecil dikasih lawan yang level nya udah jauh"
Agung vsh,2,10/29/2024 15:56,"Sering error, Sering gagal login. sering ngebug"
Abram Abram Aja,1,10/29/2024 14:58,Reward nonton iklan nya diperbaiki bug nya s. Masa 3 kali gagal terus. Game apa ini
Martinasusi Tridela,1,10/29/2024 10:31,"Mohon bantuannya karena game ini sering keluar2, ada apa ya?"
Wendi Wahyudi,1,10/29/2024 2:26,Minta tolong diperbaiki aplikasi game suka keluar sendiri buat tak nyaman para player game lainnya
Arjuna Wiwaha Pancaroba,1,10/28/2024 14:52,"Apalah tbtb gabisa masuk, langsung force close mlu"
HaNuNa TsaNie,1,10/28/2024 8:42,"Getrich membagongkan,gk bisa dimainkan keluar sendiri,kerjanya updte mulu tp hasilnya nol!"
Irza Awangga,1,10/27/2024 15:49,"Perbaiki game anda jangan hanya asal update event. Di HP Redmi Note 10 Pro suara ngeprek, di game lain atau buka aplikasi lain aman. Tutup aja game anda kalau update jadi makin buruk! Jika anda developer game yang bijak, balas kritikan yang saya beri kemudian mulai perbaiki jangan hanya diam!"
Dhirham Putra wibawa,5,10/27/2024 15:46,"Ini ada bug event president crow, material S crow summon nya cuma bisa ambil 1 material, padahal yang dibutuhin 5, tolong segera diperbaiki, ini sangat mengganggu player"
jasun Jr,1,10/27/2024 13:41,Ini game udah bagus! Sayang nya malah ada skill flame yg bikin bangkrut dan skil spray apaan coba! Gak jelas banget!! Kalo mau bikin yg menarik hapus tuh skill skill yg gak jelas gitu!!
Abduh Saman,1,10/27/2024 3:51,Tolong di perbaiki baru mau masuk suka forclose sendiri
eka susi aprianti,1,10/26/2024 14:28,"Game ny keluar Mulu, ga bisa dibuka Udah 2 mingguan gini terus 🥱"
